tripinfo_arrival,tripinfo_arrivalLane,tripinfo_arrivalPos,tripinfo_arrivalSpeed,tripinfo_depart,tripinfo_departDelay,tripinfo_departLane,tripinfo_departPos,tripinfo_departSpeed,tripinfo_devices,tripinfo_duration,tripinfo_id,tripinfo_rerouteNo,tripinfo_routeLength,tripinfo_speedFactor,tripinfo_stopTime,tripinfo_timeLoss,tripinfo_vType,tripinfo_vaporized,tripinfo_waitingCount,tripinfo_waitingTime
617,E9_2,52.3,14.59,520,0,#NAME?,2.1,0,tripinfo_s1.104 fcd_s1.104,97,s1.104,0,198.26,1.17,0,84.78,Car,,1,74
617,E9_3,52.3,11.68,535,0,#NAME?,2.1,0,tripinfo_s1.107 fcd_s1.107,82,s1.107,0,198.26,0.84,0,64.45,Car,,1,60
617,E2_2,63.53,14.01,600,0.02,#NAME?,2.1,0,tripinfo_n1.67 fcd_n1.67,17,n1.67,0,198.73,1.01,0,2.01,Car,,0,0
618,E9_3,52.3,13.64,545,0,#NAME?,2.1,0,tripinfo_s1.109 fcd_s1.109,73,s1.109,0,198.26,0.98,0,58.15,Car,,1,51
619,E9_2,52.3,13.28,530,0,#NAME?,2.1,0,tripinfo_s1.106 fcd_s1.106,89,s1.106,0,198.26,0.96,0,73.48,Car,,1,65
619,E9_3,52.3,14.16,555,0,#NAME?,2.1,0,tripinfo_s1.111 fcd_s1.111,64,s1.111,0,198.26,1.02,0,49.97,Car,,1,43
619,E8_2,50.56,12.51,601,1,#NAME?,2.1,0,tripinfo_s3.12 fcd_s3.12,18,s3.12,0,172.11,0.9,0,2.96,Car,,0,0
620,E9_2,52.3,13.69,540,0,#NAME?,2.1,0,tripinfo_s1.108 fcd_s1.108,80,s1.108,0,198.26,0.99,0,65.24,Car,,1,57
621,E2_2,63.53,13.99,493,0.48,#NAME?,2.1,0,tripinfo_n1.55 fcd_n1.55,128,n1.55,0,198.73,1.01,0,113.26,Car,,2,108
621,E9_3,52.3,13.83,565,0,#NAME?,2.1,0,tripinfo_s1.113 fcd_s1.113,56,s1.113,0,198.26,1,0,40.99,Car,,1,34
622,E9_2,52.3,11.89,550,0,#NAME?,2.1,0,tripinfo_s1.110 fcd_s1.110,72,s1.110,0,198.26,0.86,0,54.65,Car,,1,48
